Region/Sub-Region or Country of Birth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Japan,"4,202","7,049","9,578","8,248","5,971","7,697","8,768","8,265","6,748","6,821","7,690","6,264","6,161","6,061","5,925","5,545","5,395","5,207","4,635","4,317","4,503","3,905","3,960","4,184"
Macau,294,270,340,284,244,192,133,189,178,205,158,143,130,120,106,105,99,109,109,91,99,64,46,62
Mongolia,41,46,102,135,153,229,323,497,530,659,831,594,774,691,729,651,644,750,661,636,765,543,762,"1,005"
North Korea,,,,,,,,,-,-,67,35,36,49,48,142,55,47,32,41,29,28,20,22
Taiwan,"6,700","9,019","12,120","9,775","6,917","9,005","9,196","8,086","8,990","9,073","8,038","6,732","6,154","5,331","5,385","4,697","4,888","5,120","4,858","5,079","5,801","4,759","4,246","5,091"
South Korea,"12,795","15,721","20,532","20,724","12,382","19,766","26,562","24,386","22,405","26,666","25,859","22,227","22,824","20,846","23,166","20,423","17,138","21,801","19,194","17,676","18,479","16,244","12,351","16,172"
South-central Asia,"61,391","78,608","112,872","112,787","79,874","111,826","140,938","124,157","115,751","126,701","132,509","140,785","147,570","141,129","139,754","162,634","144,996","154,870","149,096","138,365","120,159","100,747","137,179","198,334"
Afghanistan,877,"1,011","1,202","1,759","1,252","2,137","4,749","3,417","1,753","2,813","3,165","2,017","1,648","1,617","2,196","10,527","8,328","12,513","19,538","12,935","10,136","11,407","9,488","14,193"
Bangladesh,"6,038","7,204","7,152","5,483","4,616","8,061","11,487","14,644","12,074","11,753","16,651","14,819","16,707","14,705","12,099","14,645","13,570","18,723","14,693","15,717","15,176","9,272","6,405","10,858"
Bhutan,4,D,5,14,15,17,30,78,52,42,594,"6,109","10,137","10,198","8,954","7,298","6,325","4,217","2,940","2,350","1,441","1,091",137,209
India,"30,157","41,903","70,032","70,823","50,228","70,151","84,680","61,369","65,353","63,352","57,304","69,162","69,013","66,434","68,458","77,908","64,116","64,687","60,394","59,821","54,495","46,363","93,450","127,012"
Iran,"7,176","8,487","10,425","12,960","7,230","10,434","13,887","13,947","10,460","13,852","18,553","14,182","14,822","12,916","12,863","11,615","13,114","13,298","13,791","10,116","6,640","8,805","5,734","9,407"
Kazakhstan,723,"1,493","2,310","2,315","1,740","1,906","2,223","2,073","1,604","1,630","1,562","1,282","1,235","1,202","1,241","1,221","1,201","1,310","1,377","1,378","1,533","1,307","1,330","1,787"
Kyrgyzstan,189,388,582,473,356,439,656,785,597,632,574,507,542,648,652,707,790,847,715,908,881,594,710,"1,637"
Maldives,-,D,9,9,15,7,6,D,9,D,6,5,3,3,5,13,8,11,5,D,8,4,4,D
Nepal,453,616,945,"1,137","2,095","2,878","3,158","3,733","3,472","4,093","4,514","7,115","10,166","11,312","13,046","12,357","12,926","12,851","11,610","11,953","10,201","7,847","7,309","12,010"
Pakistan,"13,485","14,504","16,393","13,694","9,415","12,086","14,926","17,418","13,492","19,719","21,555","18,258","15,546","14,740","13,251","18,612","18,057","19,313","17,408","15,802","13,921","10,474","9,691","11,777"
Sri Lanka,899,"1,118","1,505","1,529","1,246","1,431","1,894","2,191","1,831","1,935","2,009","2,036","2,053","1,994","1,847","1,767","1,763","1,913","1,627","1,594","1,689","1,463","1,232","2,572"
Tajikistan,104,156,187,181,137,167,207,239,172,231,265,299,382,411,550,516,595,593,652,893,"1,158",523,538,951
Turkmenistan,65,97,94,93,84,117,148,248,217,274,290,224,260,223,210,254,226,235,251,286,330,250,161,942
Uzbekistan,"1,221","1,631","2,031","2,317","1,445","1,995","2,887","4,015","4,665","6,375","5,467","4,770","5,056","4,726","4,382","5,194","3,977","4,359","4,095","4,612","2,550","1,347",990,"4,979"
South-eastern Asia,"59,632","81,348","103,907","99,751","78,422","105,161","114,203","138,444","126,871","107,969","125,338","120,840","127,193","121,834","111,306","106,527","116,040","125,225","118,192","104,517","104,848","69,886","56,130","76,274"
Brunei,16,16,27,28,20,22,49,25,32,18,26,20,25,19,21,25,21,31,24,29,23,11,24,23
Burma,"1,200","1,201","1,373","1,356","1,193","1,379","2,095","4,562","3,130","3,403","13,621","12,925","16,518","17,383","12,565","11,144","12,808","13,065","12,897","8,182","5,024","4,000","2,143","2,879"
Cambodia,"1,394","2,138","2,462","2,800","2,263","3,553","4,022","5,773","4,246","3,713","3,771","2,986","2,745","2,473","2,624","2,536","1,868","3,173","4,056","3,187","2,748","1,593","1,762","3,400"
Indonesia,"1,186","1,767","2,525","2,418","1,805","2,419","3,924","4,868","3,716","3,606","3,679","3,032","2,856","2,603","2,731","2,139","2,084","2,129","1,914","1,756","1,899","1,428","1,588","1,752"
Laos,846,"1,358","1,398","1,245",896,"1,147","1,242","2,892","2,575","2,198","1,688","1,200",956,949,923,806,917,856,685,863,850,486,349,621
Malaysia,991,"1,551","2,439","2,124","1,200","1,987","2,632","2,281","2,149","1,945","2,014","1,714","2,273","2,605","2,477","2,622","2,749","3,382","4,109","3,051","2,303","1,898","1,605","1,573"
Philippines,"30,943","42,343","52,919","51,040","45,250","57,846","60,746","74,606","72,596","54,030","60,029","58,173","57,011","57,327","54,446","49,996","56,478","53,287","49,147","47,258","45,920","25,491","27,511","35,998"
Singapore,355,668,"1,100","1,033",582,966,"1,204",997,985,922,832,774,690,712,835,779,781,812,818,801,818,807,799,971
Thailand,"2,366","3,753","4,245","4,144","3,126","4,318","5,505","11,749","8,751","6,637","10,444","9,384","9,962","9,459","7,583","6,197","7,502","7,039","6,311","5,556","5,551","4,177","4,037","4,632"
Vietnam,"20,335","26,553","35,419","33,563","22,087","31,524","32,784","30,691","28,691","31,497","29,234","30,632","34,157","28,304","27,101","30,283","30,832","41,451","38,231","33,834","39,712","29,995","16,312","24,425"
Western Asia,"21,394","27,903","33,142","30,862","22,343","29,609","37,961","45,746","36,179","37,285","45,932","51,148","51,429","49,648","40,103","51,416","53,396","64,887","53,985","59,169","45,809","33,155","29,431","43,548"
Armenia,"1,250","1,253","1,762","1,800","1,287","1,833","2,591","6,317","4,351","3,586","3,442","2,979","2,983","2,681","2,722","2,913","2,962","3,543","3,437","3,217","3,101","2,145","1,833","3,037"
Azerbaijan,738,"1,036","1,152","1,164",746,969,"1,523","2,371","1,166","1,071",834,781,728,663,637,672,676,784,881,"1,015","1,169",814,545,"1,129"
Bahrain,70,106,118,85,59,116,140,148,133,96,120,104,119,104,115,122,145,138,130,143,183,127,151,163
Cyprus,106,160,216,158,123,143,196,180,137,141,142,122,101,107,126,129,113,131,117,120,111,105,102,90
Georgia,310,493,786,886,735,964,"1,389","2,003","1,554","1,620","1,578","1,518","1,490","1,341","1,368","1,240","1,410","1,635","1,629","1,643","1,691","1,179","1,239","2,303"
Iraq,"3,360","5,087","4,965","5,174","2,450","3,494","4,077","4,337","3,765","4,795","12,110","19,855","21,133","20,369","9,552","19,153","21,107","18,904","14,203","14,351","6,514","2,266","1,726","2,797"
Israel,"1,847","2,783","3,744","3,826","2,741","4,160","5,755","5,943","4,496","5,851","5,612","4,515","3,826","4,153","3,996","3,805","3,965","4,142","3,802","3,706","4,304","3,687","3,103","3,439"
Jordan,"3,269","3,900","4,572","3,964","2,927","3,431","3,748","4,038","3,917","3,936","4,282","3,868","3,876","4,099","4,188","5,187","4,664","5,269","5,264","5,322","4,998","3,063","3,416","4,779"
Kuwait,801,"1,015","1,258","1,056",707,"1,091","1,152","1,230","1,017","1,104","1,124","1,037",973,"1,044",937,"1,057","1,055","1,186","1,177","1,090","1,201",768,916,"1,116"
Lebanon,"3,033","3,662","4,579","3,935","2,956","3,818","4,282","4,083","4,267","4,254","3,831","3,487","3,295","2,879","2,783","3,245","2,813","2,971","2,818","2,581","2,605","2,120","2,253","3,434"
Oman,40,51,55,61,76,122,101,155,103,70,74,63,60,74,73,90,85,116,104,110,148,118,154,210
Qatar,78,97,125,108,72,125,174,226,138,151,134,148,193,141,191,202,229,272,224,236,287,215,323,430
Saudi Arabia,759,"1,063","1,178","1,014",735,906,"1,210","1,542","1,171","1,194","1,418","1,263","1,396","1,343","1,463","1,696","1,744","2,117","2,135","2,100","2,514","1,854","1,780","2,764"
Syria,"2,048","2,367","3,350","2,557","1,938","2,256","2,831","2,918","2,385","2,641","2,442","2,555","2,785","3,014","3,366","3,540","3,840","4,800","5,877","14,686","5,967","3,176","1,748","3,248"
Turkey,"2,215","2,606","3,215","3,375","3,029","3,835","4,614","4,941","4,425","4,210","4,958","4,483","4,403","4,162","4,144","3,834","4,201","4,469","4,844","5,585","5,713","4,359","4,465","7,001"
United Arab Emirates,310,435,460,472,380,586,812,"1,006",758,693,697,779,707,854,910,"1,039","1,193","1,370","1,314","1,379","1,586","1,251","1,332","1,960"
Yemen,"1,160","1,789","1,607","1,227","1,382","1,760","3,366","4,308","2,396","1,872","3,134","3,591","3,361","2,620","3,532","3,492","3,194","13,040","6,029","1,885","3,717","5,908","4,345","5,648"
Other Asia,,,,,,,,,,4,1,-,-,2,2,1,3,1,1,7,-,-,-,8
Europe,"87,709","124,438","165,496","164,285","93,895","124,785","164,880","146,179","106,559","103,782","105,476","88,801","83,850","81,671","86,556","83,266","85,803","93,567","84,335","80,024","87,597","68,994","61,521","75,606"
Eastern Europe,"49,789","63,486","74,942","73,759","50,144","62,609","82,589","76,267","52,582","50,973","49,902","40,908","39,958","37,493","39,021","36,375","35,851","39,887","36,367","36,154","38,290","30,093","24,073","33,305"
Belarus,"1,320","2,170","2,901","2,923","1,858","2,255","3,503","3,086","2,328","2,390","2,407","2,038","1,964","1,659","1,970","2,015","1,994","2,127","1,919","1,951","2,263","1,723","1,435","2,172"
Bulgaria,"4,171","4,917","4,400","3,608","3,825","4,253","5,635","4,828","3,981","2,960","3,133","2,570","2,661","2,440","2,844","2,981","2,688","2,670","2,184","1,798","1,759","1,118","1,000","1,151"
Czechia,145,244,307,267,267,457,476,344,287,227,146,190,303,677,676,606,637,650,582,534,714,454,496,474
Czechoslovakia (former),318,665,863,897,543,673,784,"1,442",927,862,865,750,466,159,74,74,58,62,52,51,-,69,48,63
Hungary,694,"1,023","1,263","1,274","1,021","1,272","1,567","1,704","1,266","1,127","1,314","1,022","1,044","1,054","1,052",996,"1,095","1,048",972,917,"1,070",761,730,840
Poland,"8,773","10,090","11,769","12,711","10,510","14,326","15,351","17,051","10,355","8,354","8,754","7,643","6,863","6,300","6,430","5,689","5,275","5,603","4,845","4,357","4,700","3,341","2,970","3,192"
Republic of Moldova,753,"1,251","2,068","2,103","1,151","1,507","3,506","3,036","1,356","1,692","2,295","1,981","2,258","2,021","2,485","2,341","2,496","2,929","2,480","2,206","1,935","1,367","1,052","1,499"
Romania,"5,678","6,863","6,628","4,887","3,655","4,571","7,103","7,137","5,802","4,930","4,910","4,003","3,882","3,748","3,773","3,246","3,376","3,554","2,953","2,448","2,616","1,994","1,846","1,827"
Russia,"12,321","16,940","20,313","20,771","13,935","17,410","18,055","13,159","9,426","11,695","8,238","6,718","7,944","9,969","9,753","9,079","8,799","9,297","8,918","8,621","9,822","7,967","5,525","8,906"
Slovakia,492,549,809,725,674,800,965,"1,111",763,653,706,538,594,528,507,460,424,483,388,370,422,343,311,324
Soviet Union (former),"5,022","3,263","2,707","2,403","1,072",929,"2,899","6,229","5,090","5,270","5,911","4,978","3,687","1,296","1,264","1,136","1,022","1,042",939,"1,022","1,227","1,070","1,082","1,236"
Ukraine,"10,102","15,511","20,914","21,190","11,633","14,156","22,745","17,140","11,001","10,813","11,223","8,477","8,292","7,642","8,193","7,752","7,987","10,422","10,135","11,879","11,762","9,886","7,578","11,621"
Northern Europe,"12,065","19,471","26,140","23,442","15,495","22,587","28,878","25,556","20,871","19,813","21,882","18,430","16,726","17,269","18,516","17,356","18,114","18,382","15,839","14,531","16,689","13,832","13,221","13,146"
Denmark,367,537,706,609,405,566,718,699,517,498,603,518,459,459,506,514,609,521,461,353,416,405,322,374
Estonia,142,239,348,343,235,322,438,423,368,287,282,260,191,227,211,220,189,211,176,151,193,126,140,118
Finland,307,377,497,426,241,388,574,542,426,302,423,397,363,348,331,350,407,489,439,442,497,317,324,288
Iceland,79,129,134,93,97,105,135,145,95,122,131,105,90,103,139,86,104,97,86,89,70,81,83,68
Ireland,804,"1,296","1,505","1,398",983,"1,531","2,088","1,906","1,503","1,465","1,637","1,507","1,371","1,514","1,626","1,605","1,607","1,759","1,485","1,401","1,760","1,466","1,364","1,366"
Latvia,444,548,711,683,458,605,768,892,568,455,444,435,426,436,424,384,480,391,359,356,319,224,258,253
Lithuania,"1,147","1,349","1,732","1,786","2,266","2,480","2,417","1,885","1,361",967,"1,069",985,936,924,854,747,750,735,645,658,750,475,487,506
Norway,307,459,547,431,320,405,423,481,343,350,407,334,339,276,335,271,310,362,290,284,329,248,226,279
Sweden,821,"1,264","1,682","1,376",963,"1,270","1,517","1,376","1,145","1,019","1,138","1,097",979,968,"1,106",954,"1,066","1,144",950,889,"1,018",835,788,751
United Kingdom,"7,647","13,273","18,278","16,297","9,527","14,915","19,800","17,207","14,545","14,348","15,748","12,792","11,572","12,014","12,984","12,225","12,592","12,673","10,948","9,908","11,337","9,655","9,229","9,143"
Southern Europe,"16,401","26,995","45,699","50,545","18,438","25,677","35,410","27,760","18,789","17,883","17,999","15,579","14,656","14,501","15,578","16,705","18,575","21,592","19,997","18,059","19,902","14,571","13,585","18,172"
Albania,"3,695","4,755","4,358","3,765","3,362","3,840","5,947","7,914","5,737","5,754","5,137","4,711","3,612","3,364","3,186","3,828","4,653","5,773","5,722","5,049","5,366","3,508","2,612","5,945"
Bosnia and Herzegovina,"5,412","11,525","23,594","25,329","6,155","10,552","14,074","3,789","1,569","1,491","1,501",946,878,815,697,693,859,971,846,682,637,477,478,506
Croatia,580,"1,058","2,853","3,798","1,153","1,511","1,780",945,482,455,496,357,349,336,353,297,348,388,375,286,360,241,294,259
Greece,719,950,"1,155","1,009",651,769,"1,070","1,124",882,769,798,745,949,"1,054","1,361","1,235","1,211","1,451","1,314","1,214","1,350",945,842,918
Italy,"1,512","2,448","3,096","2,578","1,644","2,346","3,066","3,215","2,569","2,514","2,892","2,579","2,443","2,673","2,960","3,298","3,544","4,078","3,655","3,329","3,822","3,184","3,069","3,477"
Kosovo,-,-,-,-,-,-,-,-,X,-,-,355,670,782,839,758,814,"1,020","1,014",886,"1,020",678,562,853
Macedonia,569,790,921,821,653,775,"1,070","1,317","1,227","1,107","1,128",963,"1,078",906,895,960,"1,060","1,262","1,027","1,082","1,079",590,745,979
Malta,43,54,57,44,37,57,74,70,53,66,58,74,51,62,43,39,58,65,75,58,47,44,23,30
Montenegro,,,,,,,,,-,-,-,120,204,265,265,289,251,387,323,299,376,303,266,324
Portugal,"1,058","1,343","1,609","1,313",808,"1,069","1,125","1,409","1,019",772,946,755,821,811,918,892,857,"1,006",939,889,940,679,750,746
Serbia,,,,,,,,,-,-,-,20,244,704,866,"1,143","1,278","1,351","1,410","1,217","1,532","1,077",810,636
Serbia and Montenegro (former),"1,886","2,742","6,203","10,387","2,994","3,331","5,202","5,891","3,586","3,255","3,166","2,196","1,398",801,653,267,232,202,144,132,139,149,403,544
Slovenia,58,76,142,140,64,88,114,115,87,79,108,74,69,86,62,78,107,119,108,95,119,76,87,90
Spain,869,"1,254","1,711","1,361",917,"1,339","1,888","1,971","1,578","1,621","1,769","1,684","1,890","1,842","2,480","2,928","3,303","3,519","3,045","2,841","3,115","2,620","2,644","2,865"
Western Europe,"9,454","14,486","18,715","16,539","9,818","13,912","18,003","16,596","14,317","15,106","15,681","13,871","12,499","12,405","13,434","12,823","13,251","13,695","12,124","11,268","12,704","10,488","10,629","10,958"
Austria,230,405,522,483,295,402,532,524,485,443,512,442,424,407,415,438,474,432,387,401,437,311,359,344
Belgium,426,670,814,769,455,638,859,716,638,642,686,592,567,574,675,632,662,691,625,537,714,629,601,552
France,"2,196","3,442","4,569","3,797","2,375","3,595","4,399","4,258","3,494","4,935","4,569","3,919","3,653","3,862","4,425","4,284","4,693","5,159","4,782","4,276","4,787","4,053","4,107","4,351"
Germany,"5,166","7,565","9,790","8,888","5,064","7,099","9,264","8,436","7,582","7,091","7,583","6,888","6,125","5,812","6,032","5,584","5,436","5,306","4,662","4,443","4,848","3,913","3,900","4,088"
Luxembourg,11,26,34,32,16,13,35,28,39,28,30,22,24,19,40,26,27,34,33,30,42,20,32,30
Monaco,5,12,9,17,D,7,7,D,6,7,4,12,6,5,8,8,10,11,14,13,7,8,7,7
Netherlands,773,"1,337","1,679","1,549",981,"1,303","1,815","1,651","1,368","1,240","1,499","1,321","1,085","1,091","1,142","1,195","1,309","1,319","1,056",998,"1,274",962,"1,009",972
Switzerland,647,"1,029","1,298","1,004",632,855,"1,092",983,705,720,798,675,615,635,697,656,640,743,565,570,595,592,614,614
Other Europe,,,,,,,,,,7,12,13,11,3,7,7,12,11,8,12,12,10,13,25
Oceania,"3,636","5,089","6,052","5,482","4,335","5,967","6,526","7,372","6,090","5,263","5,578","5,345","4,980","4,742","5,277","5,112","5,404","5,588","5,071","4,653","5,359","3,998","4,147","5,132"
Australia and New Zealand,"1,625","3,008","4,016","3,674","2,713","3,735","4,486","4,349","3,565","3,357","3,569","3,431","3,146","3,228","3,680","3,605","3,889","4,085","3,704","3,412","4,049","3,130","3,347","3,509"
Australia,"1,103","2,044","2,811","2,557","1,836","2,604","3,193","3,249","2,518","2,464","2,622","2,512","2,343","2,414","2,759","2,809","3,034","3,239","2,906","2,693","3,205","2,523","2,682","2,859"
New Zealand,522,964,"1,205","1,117",877,"1,131","1,293","1,100","1,047",893,947,919,803,814,921,796,855,846,798,719,844,607,665,650
Melanesia,"1,616","1,514","1,491","1,246","1,134","1,618","1,474","2,157","1,683","1,203","1,226","1,237","1,066",877,928,826,895,894,827,763,758,444,439,"1,150"
Fiji,"1,599","1,483","1,452","1,208","1,095","1,593","1,422","2,115","1,637","1,176","1,194","1,201","1,041",853,895,802,875,866,805,730,734,425,419,"1,124"
New Caledonia,3,3,6,5,D,D,5,7,5,5,13,6,5,3,6,6,9,5,4,6,D,D,D,-
Papua New Guinea,14,21,26,26,34,19,44,30,31,15,19,30,20,21,27,18,11,23,18,27,24,19,20,26
Solomon Islands,D,7,7,7,5,6,3,5,10,7,D,D,D,D,D,D,D,D,D,D,D,D,D,-
Micronesia,-,11,9,10,16,11,18,28,28,23,42,34,16,29,20,23,25,34,19,26,35,23,20,28
Kiribati,-,3,-,D,4,D,4,8,10,4,10,6,D,6,D,6,4,9,D,D,D,D,D,-
"Micronesia, Federated States",D,5,9,D,4,5,6,12,7,13,16,10,9,13,4,5,6,11,6,19,21,15,10,21
Palau,D,3,D,10,8,6,8,8,11,6,16,18,7,10,16,12,15,14,13,7,14,8,10,7
Polynesia,395,556,536,552,472,603,548,838,814,671,726,629,734,594,631,639,580,561,499,437,498,383,325,418
American Samoa,11,7,28,26,16,12,15,28,11,14,19,14,D,-,D,-,-,-,D,D,-,-,-,-
French Polynesia,9,13,16,12,14,13,19,37,27,26,30,16,21,30,-,24,14,27,20,10,25,15,12,51
Marshall Islands,3,3,D,26,26,48,32,53,48,39,48,37,38,50,46,56,32,32,23,23,22,12,12,15
Samoa,91,184,165,157,178,203,173,283,290,227,250,219,267,238,237,239,207,219,194,179,195,154,130,139
Tonga,281,349,327,331,238,327,309,437,438,365,379,343,408,276,348,320,327,283,262,225,256,202,171,213